	brf_gmo	brf_gmosa	brf_gso	brf_lmo	brf_lso	brf_sgso	brf_sgso_us	bxt_gmosa	bxt_gso	bxt_lmo	bxt_lso	bxt_sgso	bxt_sgso_us
brf_gmo	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_gmosa	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_gso	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_lmo	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_lso	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	0.00434814453125	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_sgso	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
brf_sgso_us	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
bxt_gmosa	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	0.01112900771103896	3.216717694256757e-05	3.216717694256757e-05	0.009427522358141448	3.216717694256757e-05
bxt_gso	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	0.01112900771103896	1.0	3.216717694256757e-05	3.216717694256757e-05	0.49542236328125	3.216717694256757e-05
bxt_lmo	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	0.00434814453125	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05
bxt_lso	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05	3.216717694256757e-05
bxt_sgso	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	0.009427522358141448	0.49542236328125	3.216717694256757e-05	3.216717694256757e-05	1.0	3.216717694256757e-05
bxt_sgso_us	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	3.216717694256757e-05	1.0
